Date;Crude Oil production
Jan 10;167529
Feb 10;155496
Mär 10;170975
Apr 10;161770
Mai 10;167427
Jun 10;161384
Jul 10;164232
Aug 10;168862
Sep 10;168470
Okt 10;174546
Nov 10;167255
Dez 10;173812
Jan 11;170319
Feb 11;151291
Mär 11;174068
Apr 11;166728
Mai 11;174296
Jun 11;167619
Jul 11;168617
Aug 11;175576
Sep 11;168416
Okt 11;182923
Nov 11;181022
Dez 11;187441
Jan 12;191275
Feb 12;181703
Mär 12;196083
Apr 12;189673
Mai 12;197316
Jun 12;187992
Jul 12;199094
Aug 12;196723
Sep 12;197777
Okt 12;215840
Nov 12;212221
Dez 12;220007
Jan 13;219508
Feb 13;200123
Mär 13;223307
Apr 13;221142
Mai 13;227060
Jun 13;218279
Jul 13;233225
Aug 13;233462
Sep 13;235077
Okt 13;240477
Nov 13;237483
Dez 13;245758
Jan 14;250238
Feb 14;228244
Mär 14;257010
Apr 14;255655
Mai 14;267962
Jun 14;262402
Jul 14;274213
Aug 14;276342
Sep 14;272335
Okt 14;286928
Nov 14;279495
Dez 14;296382
Jan 15;290880
Feb 15;266196
Mär 15;297133
Apr 15;289651
Mai 15;293681
Jun 15;280622
Jul 15;292693
Aug 15;291851
Sep 15;284344
Okt 15;291271
Nov 15;279648
Dez 15;287168
Jan 16;285111
Feb 16;262610
Mär 16;281760
Apr 16;266065
Mai 16;273504
Jun 16;259624
Jul 16;268018
Aug 16;268963
Sep 16;256015
Okt 16;273858
Nov 16;266924
Dez 16;272731
Jan 17;274763
Feb 17;254875
Mär 17;284028
Apr 17;273008
Mai 17;284659
Jun 17;273198
Jul 17;286287
Aug 17;286702
Sep 17;285356
Okt 17;299250
Nov 17;302120
Dez 17;309172
Jan 18;310548
Feb 18;287879
Mär 18;325625
Apr 18;315308
Mai 18;324245
Jun 18;319472
Jul 18;337621
Aug 18;352176
Sep 18;344930
Okt 18;360572
Nov 18;359979
Dez 18;373164
Jan 19;367548
Feb 19;326734
Mär 19;368644
Apr 19;363682
Mai 19;375507
Jun 19;361805
Jul 19;366514
Aug 19;383927
Sep 19;374356
Okt 19;392898
Nov 19;385989
Dez 19;397204
Jan 20;395391
Feb 20;369682
Mär 20;394645
Apr 20;361831