DATE;Steel production
2015-06-01;96.5939
2015-07-01;95.9836
2015-08-01;92.6395
2015-09-01;92.3274
2015-10-01;91.6646
2015-11-01;85.5049
2015-12-01;85.7069
2016-01-01;87.2844
2016-02-01;89.0001
2016-03-01;89.7721
2016-04-01;89.1017
2016-05-01;90.1869
2016-06-01;89.9466
2016-07-01;86.5402
2016-08-01;86.1190
2016-09-01;83.6915
2016-10-01;81.6210
2016-11-01;85.7823
2016-12-01;89.6652
2017-01-01;92.9335
2017-02-01;91.3959
2017-03-01;89.9201
2017-04-01;90.5417
2017-05-01;89.7831
2017-06-01;90.3012
2017-07-01;89.6649
2017-08-01;91.9536
2017-09-01;93.2084
2017-10-01;92.3302
2017-11-01;94.7308
2017-12-01;93.2876
2018-01-01;92.9400
2018-02-01;94.2041
2018-03-01;96.2960
2018-04-01;94.8684
2018-05-01;94.6425
2018-06-01;93.8507
2018-07-01;95.1039
2018-08-01;97.1792
2018-09-01;98.3076
2018-10-01;99.7911
2018-11-01;101.6747
2018-12-01;100.5700
2019-01-01;98.1473
2019-02-01;97.3366
2019-03-01;97.6710
2019-04-01;99.2089
2019-05-01;95.5868
2019-06-01;92.0540
2019-07-01;95.7474
2019-08-01;96.3336
2019-09-01;96.3549
2019-10-01;95.2978
2019-11-01;97.7444
2019-12-01;99.9716
2020-01-01;101.3516
2020-02-01;95.1045
2020-03-01;90.5350
2020-04-01;65.9137
2020-05-01;61.8853
2020-06-01;62.6985