Date;Unemployment rate
Jan 10;9,8
Feb 10;9,8
Mär 10;9,9
Apr 10;9,9
Mai 10;9,6
Jun 10;9,4
Jul 10;9,4
Aug 10;9,5
Sep 10;9,5
Okt 10;9,4
Nov 10;9,8
Dez 10;9,3
Jan 11;9,1
Feb 11;9,0
Mär 11;9,0
Apr 11;9,1
Mai 11;9,0
Jun 11;9,1
Jul 11;9,0
Aug 11;9,0
Sep 11;9,0
Okt 11;8,8
Nov 11;8,6
Dez 11;8,5
Jan 12;8,3
Feb 12;8,3
Mär 12;8,2
Apr 12;8,2
Mai 12;8,2
Jun 12;8,2
Jul 12;8,2
Aug 12;8,1
Sep 12;7,8
Okt 12;7,8
Nov 12;7,7
Dez 12;7,9
Jan 13;8,0
Feb 13;7,7
Mär 13;7,5
Apr 13;7,6
Mai 13;7,5
Jun 13;7,5
Jul 13;7,3
Aug 13;7,2
Sep 13;7,2
Okt 13;7,2
Nov 13;6,9
Dez 13;6,7
Jan 14;6,6
Feb 14;6,7
Mär 14;6,7
Apr 14;6,2
Mai 14;6,3
Jun 14;6,1
Jul 14;6,2
Aug 14;6,1
Sep 14;5,9
Okt 14;5,7
Nov 14;5,8
Dez 14;5,6
Jan 15;5,7
Feb 15;5,5
Mär 15;5,4
Apr 15;5,4
Mai 15;5,6
Jun 15;5,3
Jul 15;5,2
Aug 15;5,1
Sep 15;5,0
Okt 15;5,0
Nov 15;5,1
Dez 15;5,0
Jan 16;4,9
Feb 16;4,9
Mär 16;5,0
Apr 16;5,0
Mai 16;4,8
Jun 16;4,9
Jul 16;4,8
Aug 16;4,9
Sep 16;5,0
Okt 16;4,9
Nov 16;4,7
Dez 16;4,7
Jan 17;4,7
Feb 17;4,6
Mär 17;4,4
Apr 17;4,4
Mai 17;4,4
Jun 17;4,3
Jul 17;4,3
Aug 17;4,4
Sep 17;4,2
Okt 17;4,1
Nov 17;4,2
Dez 17;4,1
Jan 18;4,1
Feb 18;4,1
Mär 18;4,0
Apr 18;4,0
Mai 18;3,8
Jun 18;4,0
Jul 18;3,8
Aug 18;3,8
Sep 18;3,7
Okt 18;3,8
Nov 18;3,7
Dez 18;3,9
Jan 19;4,0
Feb 19;3,8
Mär 19;3,8
Apr 19;3,6
Mai 19;3,6
Jun 19;3,7
Jul 19;3,7
Aug 19;3,7
Sep 19;3,5
Okt 19;3,6
Nov 19;3,5
Dez 19;3,5
Jan 20;3,6
Feb 20;3,5
Mär 20;4,4
Apr 20;14,7
Mai 20;13,3
Jun 20;11,1