Country or Territory;Station Name;WMO Station Number;National Station Id Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
DENMARK;HJRRING;6000;20060;1961-1990;Mean Monthly Value;mm;45.0;30.0;37.0;33.0;44.0;52.0;58.0;67.0;74.0;74.0;71.0;54.0;639.0
DENMARK;FJERRITSLEV;6000;20360;1961-1990;Mean Monthly Value;mm;62.0;42.0;51.0;41.0;53.0;60.0;66.0;72.0;81.0;86.0;87.0;71.0;772.0
DENMARK;SKRPING;6000;20590;1961-1990;Mean Monthly Value;mm;64.0;42.0;52.0;45.0;56.0;55.0;68.0;69.0;73.0;80.0;82.0;70.0;756.0
DENMARK;VESTERVIG;6000;21100;1961-1990;Mean Monthly Value;mm;69.0;44.0;54.0;42.0;49.0;53.0;56.0;76.0;88.0;100.0;99.0;81.0;811.0
DENMARK;STER LYBY;6000;21180;1961-1990;Mean Monthly Value;mm;54.0;34.0;44.0;40.0;49.0;60.0;65.0;70.0;83.0;82.0;79.0;66.0;726.0
DENMARK;GRNBK;6000;21430;1961-1990;Mean Monthly Value;mm;60.0;41.0;47.0;39.0;49.0;56.0;63.0;65.0;67.0;73.0;77.0;66.0;703.0
DENMARK;LYNGDAL;6000;22140;1961-1990;Mean Monthly Value;mm;41.0;28.0;35.0;35.0;44.0;47.0;61.0;54.0;59.0;60.0;56.0;47.0;567.0
DENMARK;RVED;6000;22230;1961-1990;Mean Monthly Value;mm;50.0;36.0;38.0;37.0;46.0;48.0;67.0;61.0;61.0;66.0;65.0;54.0;629.0
DENMARK;SKANDERBORG;6000;22540;1961-1990;Mean Monthly Value;mm;49.0;34.0;40.0;35.0;45.0;53.0;65.0;61.0;67.0;69.0;72.0;56.0;646.0
DENMARK;TRRING;6000;23180;1961-1990;Mean Monthly Value;mm;68.0;49.0;56.0;47.0;52.0;61.0;68.0;72.0;81.0;91.0;94.0;81.0;820.0
DENMARK;HARTE;6000;23320;1961-1990;Mean Monthly Value;mm;58.0;41.0;48.0;45.0;52.0;58.0;71.0;70.0;78.0;86.0;85.0;70.0;762.0
DENMARK;MOGENSTRUP;6000;24070;1961-1990;Mean Monthly Value;mm;60.0;37.0;48.0;40.0;49.0;61.0;66.0;68.0;81.0;83.0;85.0;70.0;748.0
DENMARK;FRUERHJ;6000;24110;1961-1990;Mean Monthly Value;mm;71.0;47.0;55.0;46.0;55.0;59.0;68.0;83.0;100.0;107.0;111.0;87.0;889.0
DENMARK;HERNING;6000;24290;1961-1990;Mean Monthly Value;mm;69.0;46.0;56.0;43.0;52.0;58.0;70.0;71.0;88.0;90.0;94.0;79.0;816.0
DENMARK;RINGKBING VANDVRK;6000;24330;1961-1990;Mean Monthly Value;mm;66.0;41.0;50.0;38.0;46.0;53.0;64.0;76.0;94.0;99.0;100.0;82.0;809.0
DENMARK;VARDE;6000;25180;1961-1990;Mean Monthly Value;mm;66.0;43.0;53.0;46.0;52.0;57.0;64.0;85.0;91.0;104.0;104.0;86.0;851.0
DENMARK;HOVBORG;6000;25220;1961-1990;Mean Monthly Value;mm;74.0;51.0;61.0;51.0;55.0;68.0;73.0;81.0;94.0;104.0;110.0;92.0;914.0
DENMARK;HVIDING;6000;25350;1961-1990;Mean Monthly Value;mm;65.0;39.0;50.0;42.0;46.0;61.0;65.0;76.0;84.0;97.0;93.0;73.0;791.0
DENMARK;HAJSTRUP;6000;26080;1961-1990;Mean Monthly Value;mm;59.0;38.0;45.0;41.0;46.0;53.0;67.0;64.0;65.0;72.0;76.0;64.0;690.0
DENMARK;TOFTLUND;6000;26190;1961-1990;Mean Monthly Value;mm;79.0;48.0;62.0;51.0;59.0;71.0;90.0;86.0;92.0;103.0;105.0;91.0;937.0
DENMARK;STORE JYNDEVAD;6000;26400;1961-1990;Mean Monthly Value;mm;70.0;42.0;57.0;46.0;56.0;67.0;78.0;82.0;89.0;97.0;98.0;77.0;859.0
DENMARK;RNHAVE;6000;26470;1961-1990;Mean Monthly Value;mm;58.0;37.0;46.0;43.0;50.0;55.0;68.0;65.0;68.0;67.0;78.0;61.0;696.0
DENMARK;RSLEV;6000;28280;1961-1990;Mean Monthly Value;mm;50.0;37.0;39.0;38.0;46.0;54.0;61.0;60.0;57.0;62.0;73.0;53.0;630.0
DENMARK;HSTRUP;6000;28390;1961-1990;Mean Monthly Value;mm;54.0;36.0;43.0;41.0;46.0;59.0;62.0;64.0;61.0;66.0;69.0;60.0;661.0
DENMARK;RUDKBING;6000;28590;1961-1990;Mean Monthly Value;mm;44.0;31.0;34.0;34.0;41.0;50.0;58.0;53.0;55.0;55.0;63.0;47.0;565.0
DENMARK;KOLLEKOLLE;6000;29020;1961-1990;Mean Monthly Value;mm;44.0;28.0;36.0;36.0;43.0;54.0;66.0;62.0;56.0;54.0;57.0;53.0;589.0
DENMARK;ALLINDELILLE;6000;29210;1961-1990;Mean Monthly Value;mm;52.0;34.0;42.0;38.0;43.0;53.0;66.0;60.0;59.0;60.0;65.0;62.0;634.0
DENMARK;ANTVORSKOV;6000;29360;1961-1990;Mean Monthly Value;mm;48.0;32.0;40.0;37.0;48.0;52.0;63.0;62.0;63.0;59.0;62.0;57.0;623.0
DENMARK;LILLE DYREHAVEGRD;6000;30170;1961-1990;Mean Monthly Value;mm;47.0;31.0;42.0;41.0;41.0;56.0;71.0;69.0;64.0;58.0;63.0;59.0;642.0
DENMARK;TINGHJ;6000;30320;1961-1990;Mean Monthly Value;mm;53.0;33.0;43.0;42.0;45.0;55.0;74.0;61.0;62.0;58.0;65.0;61.0;652.0
DENMARK;TORSBRO II;6000;30390;1961-1990;Mean Monthly Value;mm;44.0;28.0;36.0;36.0;42.0;50.0;65.0;66.0;62.0;53.0;58.0;53.0;593.0
DENMARK;KARREBKSMINDE;6000;31170;1961-1990;Mean Monthly Value;mm;42.0;28.0;34.0;34.0;42.0;45.0;57.0;58.0;52.0;48.0;53.0;48.0;541.0
DENMARK;STEGE N;6000;31270;1961-1990;Mean Monthly Value;mm;44.0;31.0;36.0;38.0;42.0;45.0;60.0;59.0;51.0;46.0;63.0;51.0;566.0
DENMARK;TJENNEMARKE;6000;31350;1961-1990;Mean Monthly Value;mm;48.0;36.0;40.0;44.0;43.0;50.0;68.0;61.0;57.0;49.0;64.0;53.0;613.0
DENMARK;FUGLSANG;6000;31530;1961-1990;Mean Monthly Value;mm;49.0;34.0;38.0;40.0;44.0;53.0;65.0;55.0;55.0;49.0;68.0;55.0;605.0
DENMARK;TORSHAVN;6011;;1961-1990;Mean Monthly Value;mm;153.0;113.0;137.0;93.0;72.0;67.0;81.0;88.0;142.0;177.0;143.0;171.0;1437.0
;;;;;;;;;;;;;;;;;;;
footnoteSeqID;Footnote;;;;;;;;;;;;;;;;;;
1;code for missing value;;;;;;;;;;;;;;;;;;