Country or Territory;Station Name;WMO Station Number;Period;Statistic Description;Unit;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
FINLAND;SODANKYL;2836;1961-1990;Mean Monthly Value;mm;31.0;26.0;25.0;24.0;35.0;56.0;65.0;63.0;55.0;51.0;39.0;31.0;499.0
FINLAND;KUUSAMO;2869;1961-1990;Mean Monthly Value;mm;34.0;27.0;29.0;32.0;44.0;61.0;73.0;75.0;60.0;52.0;47.0;37.0;571.0
FINLAND;OULU;2875;1961-1990;Mean Monthly Value;mm;26.0;21.0;23.0;19.0;30.0;43.0;57.0;65.0;48.0;42.0;31.0;28.0;433.0
FINLAND;KAJAANI;2897;1961-1990;Mean Monthly Value;mm;30.0;23.0;25.0;27.0;38.0;56.0;68.0;89.0;64.0;45.0;42.0;33.0;540.0
FINLAND;VAASA;2911;1961-1990;Mean Monthly Value;mm;30.0;22.0;24.0;26.0;33.0;38.0;58.0;68.0;62.0;52.0;49.0;39.0;500.0
FINLAND;JOENSUU;2929;1961-1990;Mean Monthly Value;mm;37.0;29.0;32.0;35.0;36.0;61.0;75.0;84.0;65.0;59.0;54.0;45.0;612.0
FINLAND;JYVSKYL;2935;1961-1990;Mean Monthly Value;mm;43.0;30.0;35.0;37.0;41.0;56.0;78.0;91.0;67.0;56.0;59.0;47.0;639.0
FINLAND;KANKAANP (NIINISALO);2942;1961-1990;Mean Monthly Value;mm;42.0;29.0;33.0;38.0;37.0;53.0;71.0;80.0;73.0;54.0;59.0;47.0;616.0
FINLAND;LAPPEENRANTA;2958;1961-1990;Mean Monthly Value;mm;37.0;29.0;33.0;31.0;31.0;50.0;67.0;82.0;71.0;64.0;58.0;50.0;602.0
FINLAND;JOKIOINEN;2963;1961-1990;Mean Monthly Value;mm;36.0;24.0;25.0;32.0;35.0;47.0;80.0;83.0;65.0;58.0;55.0;42.0;582.0
FINLAND;TURKU;2972;1961-1990;Mean Monthly Value;mm;45.0;33.0;34.0;38.0;35.0;43.0;78.0;84.0;72.0;69.0;71.0;59.0;662.0
FINLAND;HELSINKI;2974;1961-1990;Mean Monthly Value;mm;41.0;31.0;34.0;37.0;35.0;44.0;73.0;80.0;73.0;73.0;72.0;58.0;649.0